Numeric_Date,Full_Date,Degree,Reliablility,Description
1546.00000000,1546 Jan 14 (Afternoon),3,1,"damage: Holy tomb, Walls, Tower of the Temple, gate of Mercy, Yishmael mosque, al-Aqsa, Church of the Holy Sepulchre, the Ashrafiyya, the Aminiyya, Fakhriyya, Olive Mountain"
1557.00000000,1557 Feb,3,4,NULL
1643.00000000,1643 Mar 23,2,3,NULL
1644.00000000,1644,0,-1,TODO
1753.00000000,1753 Dec 16,1,3,NULL
1759.20000000,1759 Oct 30 ( 03:45),1,2,NULL
1759.30000000,1759 Nov 25 ( 19:23),1,1,The earthquake was felt stongly.
1769.00000000,1769,0,-1,TODO
1817.00000000,1817 Mar,3,2,"damage: Holy Sepulchre, Greek and Armenean Churchs"
1822.00000000,1822 Aug 13 (20:40),1,2,NULL
1834.00000000,1834 May 26 (13:00),3,1,Houses suffered various degrees of damage without loss of life
1837.00000000,1837 Jan 01  (16:35),2,1,"In Jerusalem the earthquake was not very strong and caused only limited damage. It is alleged that the minarets of the mosque at Kafr al-Tur, east of the city, were shaken down (AM after Calman 1837; Neman 1837)."
1843.00000000,1843 May 12,0,4,NULL
1844.40000000,1844-1845,1,4,NULL
1854.00000000,1854 Nov 3,1,4,NULL
1857.20000000,1857 Sep 21,1,4,NULL
1859.20000000,1859 Oct 24 (05:15),2,2,NULL
1863.20000000,1863 Sep 24 (20:15),1,2,NULL
1864.00000000,1864 Feb 19 (midnight),1,2,NULL
1864.20000000,1864 Mar 24 (02:30),1,2,NULL
1868.00000000,1868 Jan 24 (15:50),1,2,NULL
1868.40000000,1868 Oct 7 (19:30),1,2,NULL
1873.20000000,1873 Feb 14,1,4,NULL
1873.20000000,1873 Feb 14,1,2,"Slight tremor in Jerusalem (Royal Commision on Historical Manuscripts, 1975. Report on the papers of the Palestine Exploration Fund: Western Survey 1871-1902, 10)"
1873.30000000,1873 Jun 29 (02:30),1,2,NULL
1874.00000000,1874 Feb 13,1,2,"In the report of the Royal Commision on Historical Manuscripts from 1975 on the PEF western survey there is a report of  """"a small earthquake tremor in J. “[Jerusalem, my interpretation] . No other reporting source at the time but the British reports tend to be highy reliable."
1874.20000000,1874 Mar 03 (01:40),1,2,NULL
1875.00000000,1875 Mar 28 (02:48),1,2,NULL
1877.00000000,1877 Feb 15 (07:15),1,2,NULL
1877.20000000,1877 Mar 14 (06:15),1,2,NULL
1879.20000000,1879 Dec 31 (09:00),1,2,NULL
1885.00000000,1885 Mar 13 (11:00),1,4,NULL
1889.20000000,1889 Dec 11 (00:25),1,3,NULL
1893.00000000,1893 Jan 12 (04:00),1,3,NULL
1900.00000000,1900 Jan 5,1,3,Amiran et al (1994): slight shock
1903.00000000,1903 Mar 29 (22:30),1,3,"Amiran et al (1994): foreshock 21:00-21:30, MMS III. Three main shocks, 23:05, direction north to south. Mount of Olives: MMS VII. Aftershock 03:00, MMS III."
1903.20000000,1903 Dec 19 (00:20-00:44?),1,3,Amiran et al (1994)
1924.20000000,1924 Feb 27 (20:04),1,3,Amiran et al (1994)
1926.00000000,1926 Jun 26 (19:46),1,3,Amiran et al (1994)
1927.00000000,1927 Jul 11 (15:04),4,1,"(1) MSK values follow (Avni 1999) while correction of the MSK values was done by Zohar and Marco (2012) [ZOMA] in accordance to the site-attributes of construction quality, topographic slope, surface geology and ground water level.
(2) Mshikuli opposite christ Church- 1 stone fallen down. Room over main entrance gate cracks. Southern tower cracked. 
(3) Minaret part above gallery partly fallen down.
Mosque stones displaced, cracks, part of the roof has fallen in.
in the citadel and on the city walles stone fell down at several points which had not been consolidated recently."
