Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
63,447 Aug 12,447.00000000,-,Doubtful,U,5,Strong-Major,NULL,NULL,7.6,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
69,459 Jun 19,459.00000000,-,Poor,A,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,Questionable and if occurred it probably followed the 458 September 14 CE event,"Chron. 724, 141ff./110ff",AM;,Historical
71,500,500.00000000,NULL,Doubtful,U,4,Strong,NULL,NULL,7.3,NULL,NULL,NULL,C-N,Southen Lebanon,Lebanon (A),35.87000000,33.84000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
73,513 Sep 7,513.00000000,-,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,"James of Eddesa from (8th century) cites Severus (6th century), a religious poetic writer that is attributed with limited authentic. No details nor reported damage","Secondary: Jac. Edess. 705ff.; WR 1.334 (see wright 1870, 334 c.2)",AM;,Historical
74,525 Oct 14,525.00000000,-,Poor,F,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,"The only source is Cedrenus (citation?) which is not decisive. If the event had occurred, it might be a Foreshock of the 526 earthquake",Secondary: Cedr. CS. 116-117,AM; SDM;,Historical
77,529 Jan 2,529.00000000,-,Doubtful,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Latakia,Latakia,35.77000000,35.51000000,0,0,"The event seems to be duplicated from the 528 CE November event. Malalas (citation) refers to three cities that were exempted from tax by Justinianus i.e., they were probably damaged by the same event","Contemporary: Malals. 442-443/652
Secondary: Ps.Dion. 75/ii.56; Chron.Nest. 145-146",AM;,Historical
84,557-8,557.00000000,1,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,AM: The only source is the 12th century writer Cedrenus,Secondary: Cedr. 676/737,AM; SDM;,Historical
86,565 Jun,565.00000000,-,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C-N,"Lebanon, Syria",Lebanon (A),35.87000000,33.84000000,0,1,"AM: The source for this event is John of Ephesus, contemporary (c. 507 – c. 586). However, all other sources that reported the 551 event are silent and thus it is possible that its report is not accurate.",Contemporary: John Eph. 492,AM; SDM; GII,Historical
90,592 19 Mar,592.00000000,-,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Syria,Syria (A),37.03000000,34.93000000,0,0,AM: The location is unclear and only single secondary source reports of it,Secondary: Agap. 447,AM;,Historical
91,<597/597-598,597.00000000,?,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C,Areopolis,Areopolis,35.73000000,31.26000000,0,0,"According to inscription found in Areopolis which implies of restoration of the city but not necessarily from an earthquake (AM). RN refer to a strong earthquake in 597-598 that hit east of the Dead Sea. Hoever, to this point the association cannot be reinforced","Inscription: Zayadine 1971, 139ff",AM; RN; AG,Historical & Paleoseimic/Archaeoseimic
